,Job_title,company_name,City,State,job_type,qualification,average_rating_list,company_culture,growth_opportunities,people_you_work_with,person_you_work_for,rewards_you_receive,suppport_you_get,way_you_work,work_setting,Designation,final_rating,polarity,Sentiment
0,DATA SCIENTIST,PUMA,Bengaluru,Karnataka,Not mentioned,"['Azure', 'SQL', 'Spark', 'Performance marketing', 'Deep learning', ""Bachelor's degree"", ""Master's degree""]",3.6,3.3,3.3,4.5,3.5,3.5,3,3.5,4,Scientist,3.6,0.8126,Positive
1,Associate Architect - Fullstack (Python/ Ruby and Angular),Clarivate,Bengaluru,Karnataka,Full-time,"['React', 'Continuous integration', 'SQL', '.NET', 'CI/CD', ""Bachelor's degree"", ""Master's degree""]",4.8,5,4,5,5,4,5,5,5,Associate,4.8,0.9757,Positive
2,Software Engineer,Dell Technologies,India,India,Full-time,"['DNS', 'VMWare', 'ESXi', 'Software troubleshooting', 'TCP']",3.9,3.8,3.4,4.3,4.1,3.9,3.8,4,3.9,Engineer,3.9,0.6143,Positive
3,RestartWithInfosys-EAIS-Java/Springboot/Microservices Consultant,Infosys Limited,Bengaluru,Karnataka,Not mentioned,"['APIs', 'Microservices', 'Java', ""Bachelor's degree"", ""Master's degree""]",4,3.8,3.7,4.4,4.2,3.5,4,4.2,4,Consultant,4,0.8176,Positive
4,Data Annotator,Conxai Technologies GmbH,Bengaluru,Karnataka,Full-time,"['Deep learning', 'Software deployment', 'PyTorch', 'Python', 'Data science', ""Bachelor's degree""]",4,3.9,3.6,4.4,4.2,3.8,3.9,4.1,3.9,Other,4,0.4404,Negative
5,Data Science Intern,Discover Dollar,Remote,Remote,Internship,"['Azure', 'NoSQL', 'MongoDB', 'Sentiment analytics', 'Git', ""Bachelor's degree""]",3.9,3.6,3.5,4.4,4.4,3.6,3.8,4.1,3.7,Intern,3.9,0,Negative
6,Data Engineer-Fresher,TransUnion,Bengaluru,Karnataka,Full-time,"['Analysis skills', 'SQL', 'Python', 'Statistics', 'AWS', ""Bachelor's degree"", ""Master's degree""]",4,4,3.5,4.5,4.1,3.9,4.1,4.3,3.9,Engineer,4,-0.783,Negative
7,Data Science/Data Analytics,Excellence and Eminence LLP,Bengaluru,Karnataka,Full-time,"['D3.js', 'SQL', 'Apache Hive', 'Tableau', 'Apache Pig']",3.9,3.9,3.4,4.4,4.1,3.7,3.9,4,4.1,Analyst,3.9,0,Negative
8,Data Scientist,Infiniti Research,Bengaluru,Karnataka,Full-time,"['Communication skills', 'Machine learning', 'Python', 'Data science', 'Natural language processing']",3,3.1,2.5,3.6,3.5,2.6,2.6,3.6,2.9,Scientist,3,0.7494,Positive
9,Data Science & Analytics - SESG Team,Samsung Electronics,Bengaluru,Karnataka,Full-time,"['Software deployment', 'Application development', 'TensorFlow', 'C++', 'MATLAB']",3.9,3.7,3.7,4.4,4.2,3.8,3.9,4,4,Analyst,4,0.8814,Positive
